date,total_cases,new_cases,total_deaths,new_deaths
2020-08-07,2027074,62538,41585,886
2020-08-08,2088611,61537,42518,933
2020-08-09,2153010,64399,43379,861
2020-08-10,2215074,62064,44386,1007
2020-08-11,2268675,53601,45257,871
2020-08-12,2329638,60963,46091,834
2020-08-13,2396637,66999,47033,942
2020-08-14,2461190,64553,48040,1007
2020-08-15,2526192,65002,49036,996
2020-08-16,2589682,63490,49980,944
2020-08-17,2647663,57981,50921,941
2020-08-18,2702742,55079,51797,876
2020-08-19,2767273,64531,52889,1092
2020-08-20,2836925,69652,53866,977
2020-08-21,2905823,68898,54849,983
2020-08-22,2975701,69878,55794,945
2020-08-23,3044940,69239,56706,912
2020-08-24,3106348,61408,57542,836
2020-08-25,3167323,60975,58390,848
2020-08-26,3234474,67151,59449,1059
2020-08-27,3310234,75760,60472,1023
2020-08-28,3387500,77266,61529,1057
2020-08-29,3463972,76472,62550,1021
2020-08-30,3542733,78761,63498,948
2020-08-31,3621245,78512,64469,971
2020-09-01,3691166,69921,65228,759
2020-09-02,3769523,78357,66333,1105
2020-09-03,3853406,83883,67376,1043
2020-09-04,3936747,83341,68472,1096
2020-09-05,4023179,86432,69561,1089
2020-09-06,4113811,90632,70626,1065
2020-09-07,4204613,90802,71642,1016
2020-09-08,4280422,75809,72775,1133
2020-09-09,4370128,89706,73890,1115
2020-09-10,4465863,95735,75062,1172
2020-09-11,4562414,96551,76271,1209
2020-09-12,4659984,97570,77472,1201
2020-09-13,4754356,94372,78586,1114
2020-09-14,4846427,92071,79722,1136
2020-09-15,4930236,83809,80776,1054
2020-09-16,5020359,90123,82066,1290
2020-09-17,5118253,97894,83198,1132
2020-09-18,5214677,96424,84372,1174
2020-09-19,5308014,93337,85619,1247
2020-09-20,5400619,92605,86752,1133
2020-09-21,5487580,86961,87882,1130
2020-09-22,5562663,75083,88935,1053
2020-09-23,5646010,83347,90020,1085
2020-09-24,5732518,86508,91149,1129
2020-09-25,5818570,86052,92290,1141
2020-09-26,5903932,85362,93379,1089
